"","SMILES","SMILESbeta","EndPt","ReadyBiodeg"
"201","Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O","O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1","NRB",0
"202","BrC(Br)c1ccccc1OCC2CO2","BrC(Br)c1ccccc1OCC1CO1","NRB",0
"203","O=C(O\N=C1\C=C\C(C=C1)=N/OC(=O)c2ccccc2)c3ccccc3","O=C(ON=C1C=CC(=NOC(=O)c2ccccc2)C=C1)c1ccccc1","NRB",0
"204","Cc1cc(C)cc(O[P](=O)(Oc2cc(C)cc(C)c2)Oc3cc(C)cc(C)c3)c1","Cc1cc(C)cc(OP(=O)(Oc2cc(C)cc(C)c2)Oc2cc(C)cc(C)c2)c1","NRB",0
"205","Sc1ccc2ccccc2c1","Sc1ccc2ccccc2c1","NRB",0
"206","[nH]1c2ccccc2c3ccccc13","c1ccc2c(c1)[nH]c1ccccc12","NRB",0
"207","Nc1ccc(cc1)[N](=O)=O","Nc1ccc([N+](=O)[O-])cc1","NRB",0
"208","s1cnc2ccccc12","c1ccc2scnc2c1","NRB",0
"209","CN(C)[S](=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1","CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1","NRB",0
"210","CNC(=O)CS[P](=S)(OC)OC","CNC(=O)CSP(=S)(OC)OC","NRB",0
"211","CCCCCCCCc1ccccc1Nc2ccccc2CCCCCCCC","CCCCCCCCc1ccccc1Nc1ccccc1CCCCCCCC","NRB",0
"212","Cc1ccccc1[S](N)(=O)=O","Cc1ccccc1S(N)(=O)=O","NRB",0
"213","CC(C)c1ccc(O[P](=O)(Oc2ccc(cc2)C(C)C)Oc3ccc(cc3)C(C)C)cc1","CC(C)c1ccc(OP(=O)(Oc2ccc(C(C)C)cc2)Oc2ccc(C(C)C)cc2)cc1","NRB",0
"214","N[S](=O)(=O)c1ccccc1","NS(=O)(=O)c1ccccc1","NRB",0
"215","CC1=CC2CC1C3C2C(=O)OC3=O","CC1=CC2CC1C1C(=O)OC(=O)C21","NRB",0
"216","CC1=NN(C(=O)C1)c2cc(Cl)c(cc2Cl)[S](O)(=O)=O","CC1=NN(c2cc(Cl)c(S(=O)(=O)O)cc2Cl)C(=O)C1","NRB",0
"217","OC(=O)c1ccc(nc1)C(O)=O","O=C(O)c1ccc(C(=O)O)nc1","NRB",0
"218","[O-][N+](=O)c1cc(ccc1Nc2ccccc2)[S](=O)(=O)Nc3ccccc3","O=[N+]([O-])c1cc(S(=O)(=O)Nc2ccccc2)ccc1Nc1ccccc1","NRB",0
"219","ClCC=CCl","ClC=CCCl","NRB",0
"220","ClCC(CCl)O[P](=O)(OC(CCl)CCl)OC(CCl)CCl","O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl","NRB",0
"221","CN(C(C)=O)c1ccccc1","CC(=O)N(C)c1ccccc1","NRB",0
"222","Cc1c(c(C)c(c(c1[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O)[N+]([O-])=O","Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C(C)(C)C)c1[N+](=O)[O-]","NRB",0
"223","COc1cccc(c1)[N+]([O-])=O","COc1cccc([N+](=O)[O-])c1","NRB",0
"224","COc1ccc(N)c(c1)[N+]([O-])=O","COc1ccc(N)c([N+](=O)[O-])c1","NRB",0
"225","CCN(CC)c1ccc(c(O)c1)C(=O)c2ccccc2C(O)=O","CCN(CC)c1ccc(C(=O)c2ccccc2C(=O)O)c(O)c1","NRB",0
"226","Nc1ccc2c(cccc2[S](O)(=O)=O)c1[S](O)(=O)=O","Nc1ccc2c(S(=O)(=O)O)cccc2c1S(=O)(=O)O","NRB",0
"227","OCC1CC23CCC1(CC2)CC3CO","OCC1CC23CCC1(CC2)CC3CO","NRB",0
"228","[nH]1nc2ccccc2n1","c1ccc2n[nH]nc2c1","NRB",0
"229","CO[PH](=O)OC","CO[PH](=O)OC","NRB",0
"230","CCCCCO[P](=O)(OCCCCC)OCCCCC","CCCCCOP(=O)(OCCCCC)OCCCCC","NRB",0
"231","CCO[P](=S)(OCC)O\N=C(/C#N)c1ccccc1","CCOP(=S)(OCC)ON=C(C#N)c1ccccc1","NRB",0
"232","O=C(OCCN(CCC#N)c1ccc(cc1)N=Nc2ccc(cc2)[N](=O)=O)c3ccccc3","N#CCCN(CCOC(=O)c1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1","NRB",0
"233","Clc1cccc2C3=NC4=NC(=Nc5n6[Cu]N3C(=NC7=NC(=Nc6c8ccccc58)c9ccccc79)c12)c%10ccccc4%10","Clc1cccc2c3n4c(c12)=NC1=NC(=Nc2c5ccccc5c(n2[Cu]4)N=C2N=C(N=3)c3ccccc32)c2ccccc21","NRB",0
"234","COc1cc(N=Nc2c(Cl)cc(cc2N(=O)=O)N(=O)=O)c(cc1N(Cc1ccccc1)CCOC(=O)C)NC(=O)C","COc1cc(N=Nc2c(Cl)cc([N+](=O)[O-])cc2[N+](=O)[O-])c(NC(C)=O)cc1N(CCOC(C)=O)Cc1ccccc1","NRB",0
"235","COc1cc(/N=N/c2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])c(cc1N(Cc1ccccc1)CCOC(=O)C)NC(=O)C","COc1cc(N=Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c(NC(C)=O)cc1N(CCOC(C)=O)Cc1ccccc1","NRB",0
"236","N#CCCN(c1ccc(c(c1)C)/N=N/c1nc2c(s1)cc(cc2)[N+](=O)[O-])CC","CCN(CCC#N)c1ccc(N=Nc2nc3ccc([N+](=O)[O-])cc3s2)c(C)c1","NRB",0
"237","N#CCCN(c1ccc(cc1)/N=N/c1nc2c(s1)c(Cl)cc(c2)Cl)CC","CCN(CCC#N)c1ccc(N=Nc2nc3cc(Cl)cc(Cl)c3s2)cc1","NRB",0
"238","N#CCCN(c1ccc(cc1)/N=N/c1sc2c(n1)cc(c(c2)Cl)Cl)CC","CCN(CCC#N)c1ccc(N=Nc2nc3cc(Cl)c(Cl)cc3s2)cc1","NRB",0
"239","Oc1ccc(cc1)N=Nc1ccc(cc1)N=Nc1ccc(cc1)O","Oc1ccc(N=Nc2ccc(N=Nc3ccc(O)cc3)cc2)cc1","NRB",0
"240","Clc1ccc(cc1)NC(=O)c1c(O)ccc2c1[nH]c1c2cccc1","O=C(Nc1ccc(Cl)cc1)c1c(O)ccc2c1[nH]c1ccccc12","NRB",0
"241","OCCN(c1ccc(c(c1)Cl)/N=N/c1c(Cl)cc(cc1Cl)[N+](=O)[O-])CCO","O=[N+]([O-])c1cc(Cl)c(N=Nc2ccc(N(CCO)CCO)cc2Cl)c(Cl)c1","NRB",0
"242","N#CCCN(c1ccc(cc1)N=Nc1ncc(s1)N(=O)=O)CCc1ccccc1","N#CCCN(CCc1ccccc1)c1ccc(N=Nc2ncc([N+](=O)[O-])s2)cc1","NRB",0
"243","COc1cc(ccc1/N=N/c1ccc(cc1)O)/N=N/c1ccc(cc1)[N+](=O)[O-]","COc1cc(N=Nc2ccc([N+](=O)[O-])cc2)ccc1N=Nc1ccc(O)cc1","NRB",0
"244","OCCN(S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C","CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","NRB",0
"245","COc1cc(ccc1/N=N/C(C(=O)Nc1ccccc1C)C(=O)C)c1ccc(c(c1)OC)/N=N/C(C(=O)Nc1ccccc1C)C(=O)C","COc1cc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3C)c(OC)c2)ccc1N=NC(C(C)=O)C(=O)Nc1ccccc1C","NRB",0
"246","C[Si]1(O[Si](C)(C)O[Si](O[Si](O1)(C)C)(C)C)c1ccccc1","C[Si]1(C)O[Si](C)(C)O[Si](C)(c2ccccc2)O[Si](C)(C)O1","NRB",0
"248","CC(c1ccc(cc1)Oc1ccc(cc1)N)(c1ccc(cc1)Oc1ccc(cc1)N)C","CC(C)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1","NRB",0
"249","OCCN(c1ccc(c(c1)Cl)/N=N/c1c(Cl)cc(cc1Br)[N+](=O)[O-])CCO","O=[N+]([O-])c1cc(Cl)c(N=Nc2ccc(N(CCO)CCO)cc2Cl)c(Br)c1","NRB",0
"250","n1ccc(cc1)C1=C2C=CC(=N2)C(=C2C=CC(=N2)C(=C2N=C(C(=C3N=C1C=C3)c1ccncc1)C=C2)c1ccncc1)c1ccncc1","C1=CC2=C(c3ccncc3)C3=NC(=C(c4ccncc4)C4=NC(=C(c5ccncc5)C5=NC(=C(c6ccncc6)C1=N2)C=C5)C=C4)C=C3","NRB",0
"251","N#CCCN(c1ccc(cc1)/N=N/c1ccc(cc1C#N)[N+](=O)[O-])CCc1ccccc1","N#CCCN(CCc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2C#N)cc1","NRB",0
"252","Cc1ccccc1/N=N/c1c(O)ccc2c1cccc2","Cc1ccccc1N=Nc1c(O)ccc2ccccc12","NRB",0
"253","Oc1ccc2c(c1N=Nc1cccc3c1cccc3)cccc2","Oc1ccc2ccccc2c1N=Nc1cccc2ccccc12","NRB",0
"254","CCCCCCC(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F","CCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1","NRB",0
"255","COc1nc(OC)nc(n1)c1ccc2c3c1ccc1c3c(cc2)ccc1","COc1nc(OC)nc(-c2ccc3ccc4cccc5ccc2c3c45)n1","NRB",0
"256","CCNc1ccc2c(c1/N=N/c1ccc(cc1)/N=N/c1ccccc1)cccc2","CCNc1ccc2ccccc2c1N=Nc1ccc(N=Nc2ccccc2)cc1","NRB",0
"257","Clc1cc2S/C(=C/3\Sc4c(C3=O)c(C)c(cc4Cl)Cl)/C(=O)c2c(c1)C","Cc1cc(Cl)cc2c1C(=O)C(=C1Sc3c(Cl)cc(Cl)c(C)c3C1=O)S2","NRB",0
"258","Clc1cc(Cl)c2c(c1)c(=O)c1c([nH]2)c2C(=O)c3ccccc3C(=O)c2c(c1)Cl","O=C1c2ccccc2C(=O)c2c1c(Cl)cc1c(=O)c3cc(Cl)cc(Cl)c3[nH]c21","NRB",0
"259","CC1=NN(C(=O)C1/N=N/c1ccccc1Cl)c1ccccc1","CC1=NN(c2ccccc2)C(=O)C1N=Nc1ccccc1Cl","NRB",0
"260","CNc1ccc(c2c1C(=O)c1c(C2=O)cccc1)Nc1cccc(c1)C","CNc1ccc(Nc2cccc(C)c2)c2c1C(=O)c1ccccc1C2=O","NRB",0
"261","Nc1c(C=NN=Cc2ccc3c(c2N)C(=O)c2c(C3=O)cccc2)ccc2c1C(=O)c1ccccc1C2=O","Nc1c(C=NN=Cc2ccc3c(c2N)C(=O)c2ccccc2C3=O)ccc2c1C(=O)c1ccccc1C2=O","NRB",0
"262","Oc1ccc2c(c1N=Nc1ccccc1[N+](=O)[O-])cccc2","O=[N+]([O-])c1ccccc1N=Nc1c(O)ccc2ccccc12","NRB",0
"263","Clc1ccc(c(c1)[N+](=O)[O-])N=Nc1c(O)ccc2c1cccc2","O=[N+]([O-])c1cc(Cl)ccc1N=Nc1c(O)ccc2ccccc12","NRB",0
"264","COc1ccc(cc1N=Nc1c(O)c(cc2c1cccc2)C(=O)Nc1cc(Cl)c(cc1OC)OC)S(=O)(=O)N(CC)CC","CCN(CC)S(=O)(=O)c1ccc(OC)c(N=Nc2c(O)c(C(=O)Nc3cc(Cl)c(OC)cc3OC)cc3ccccc23)c1","NRB",0
"265","O=C(c1ccc2c(c1)c(=O)c1c([nH]2)c2C(=O)c3ccccc3C(=O)c2cc1)Nc1cccc2c1C(=O)c1cccc(c1C2=O)NC(=O)c1ccccc1","O=C(Nc1cccc2c1C(=O)c1cccc(NC(=O)c3ccc4[nH]c5c6c(ccc5c(=O)c4c3)C(=O)c3ccccc3C6=O)c1C2=O)c1ccccc1","NRB",0
"266","N#CCCN(c1ccc(cc1)/N=N/c1ccc(cc1)[N+](=O)[O-])CCOC(=O)Nc1ccccc1","N#CCCN(CCOC(=O)Nc1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1","NRB",0
"267","O=C1c2c(cccc2C(=O)c2c1cccc2)Nc1ccc(cc1)S(=O)(=O)c1ccccc1","O=C1c2ccccc2C(=O)c2c(Nc3ccc(S(=O)(=O)c4ccccc4)cc3)cccc21","NRB",0
"268","Clc1ccc(c2c1C(=O)/C(=C\1/Sc3c(C1=O)c(Cl)ccc3Cl)/S2)Cl","O=C1C(=C2Sc3c(Cl)ccc(Cl)c3C2=O)Sc2c(Cl)ccc(Cl)c21","NRB",0
"269","COC(=O)Nc1ccc(cc1)N=Nc1ccc(cc1C)N=Nc1ccc(cc1)O","COC(=O)Nc1ccc(N=Nc2ccc(N=Nc3ccc(O)cc3)cc2C)cc1","NRB",0
"270","O1CC1COc1ccc(cc1)C(C(c1ccc(cc1)OCC1OC1)c1ccc(cc1)OCC1OC1)c1ccc(cc1)OCC1OC1","c1cc(C(c2ccc(OCC3CO3)cc2)C(c2ccc(OCC3CO3)cc2)c2ccc(OCC3CO3)cc2)ccc1OCC1CO1","NRB",0
"271","C[SiH](O[Si](O[Si](O[SiH](C)C)(C)C)(C)C)C","C[SiH](C)O[Si](C)(C)O[Si](C)(C)O[SiH](C)C","NRB",0
"272","CC(C#CC(OOC(C)(C)C)(C)C)(OOC(C)(C)C)C","CC(C)(C)OOC(C)(C)C#CC(C)(C)OOC(C)(C)C","NRB",0
"273","Oc1ccc(c2c1C(=O)c1c(C2=O)cccc1)Nc1ccc(cc1)OS(=O)(=O)C","CS(=O)(=O)Oc1ccc(Nc2ccc(O)c3c2C(=O)c2ccccc2C3=O)cc1","NRB",0
"274","Fc1ccc(cc1)C(c1ccc(cc1)F)CCCN1CCC(CC1)n1c(=O)[nH]c2c1cccc2","O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1","NRB",0
"275","CC(=O)Nc1ccc(cc1)NC(=O)c1cc2ccccc2c(c1O)N=Nc1cc(ccc1Cl)C(=O)N","CC(=O)Nc1ccc(NC(=O)c2cc3ccccc3c(N=Nc3cc(C(N)=O)ccc3Cl)c2O)cc1","NRB",0
"276","CCOc1cc(N=Nc2c(Br)cc(cc2N(=O)=O)N(=O)=O)c(c(c1)N(CCOC(=O)C)CCOC(=O)C)NC(=O)C","CCOc1cc(N=Nc2c(Br)cc([N+](=O)[O-])cc2[N+](=O)[O-])c(NC(C)=O)c(N(CCOC(C)=O)CCOC(C)=O)c1","NRB",0
"277","Cc1cc(C)c(cc1C)C","Cc1cc(C)c(C)cc1C","NRB",0
"278","Clc1cc2S/C(=C/3\Sc4c(C3=O)c(C)cc(c4)Cl)/C(=O)c2c(c1)C","Cc1cc(Cl)cc2c1C(=O)C(=C1Sc3cc(Cl)cc(C)c3C1=O)S2","NRB",0
"279","Cc1cc(Cl)c(c2c1S/C(=C\1/Sc3c(C1=O)c(C)c(cc3C)Cl)/C2=O)C","Cc1cc(Cl)c(C)c2c1SC(=C1Sc3c(C)cc(Cl)c(C)c3C1=O)C2=O","NRB",0
"280","Cc1ccc(c(c1)C)NC(=O)C(C(=O)C)N=Nc1ccc(cc1Cl)c1ccc(c(c1)Cl)N=NC(C(=O)Nc1ccc(cc1C)C)C(=O)C","CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccc(C)cc3C)c(Cl)c2)cc1Cl)C(=O)Nc1ccc(C)cc1C","NRB",0
"281","CCOc1ccc(cc1)/N=N/c1ccc(c2c1cccc2)O","CCOc1ccc(N=Nc2ccc(O)c3ccccc23)cc1","NRB",0
"282","O=C=NC(c1cccc(c1)C(N=C=O)(C)C)(C)C","CC(C)(N=C=O)c1cccc(C(C)(C)N=C=O)c1","NRB",0
"283","Clc1cc(ccc1/N=N/c1c(O)ccc2c1cccc2)N(=O)=O","O=[N+]([O-])c1ccc(N=Nc2c(O)ccc3ccccc23)c(Cl)c1","NRB",0
"284","O=N(=O)c1cc(ccc1/N=N/c1c(O)ccc2c1cccc2)N(=O)=O","O=[N+]([O-])c1ccc(N=Nc2c(O)ccc3ccccc23)c([N+](=O)[O-])c1","NRB",0
"285","C[Si](O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)(C)C","C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C","NRB",0
"286","O=C1c2ccccc2C(=O)c2c1c(ccc2N)Nc1ccccc1","Nc1ccc(Nc2ccccc2)c2c1C(=O)c1ccccc1C2=O","NRB",0
"287","OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F","OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","NRB",0
"288","Oc1ccc2c(c1/N=N/c1ccccc1)cccc2","Oc1ccc2ccccc2c1N=Nc1ccccc1","NRB",0
"289","Clc1cc(Cl)c(c(c1)C(=O)Nc1ccc(c(c1)Cl)Cl)O","O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O","NRB",0
"290","CCOC(=O)c1ccccc1/C(=C/1\C=C(Br)C(=O)C(=C1)Br)/c1cc(Br)c(c(c1)Br)O","CCOC(=O)c1ccccc1C(=C1C=C(Br)C(=O)C(Br)=C1)c1cc(Br)c(O)c(Br)c1","NRB",0
"291","CN(c1ccc(c2c1cccc2)C(c1ccc(cc1)N(C)C)(c1ccc(cc1)N(C)C)O)c1ccccc1","CN(C)c1ccc(C(O)(c2ccc(N(C)C)cc2)c2ccc(N(C)c3ccccc3)c3ccccc23)cc1","NRB",0
"292","FC(C(F)F)F","FC(F)C(F)F","NRB",0
"293","OCCN(S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CC","CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","NRB",0
"294","Oc1c(Br)cc2c(c1Br)Oc1c(C32OC(=O)c2c3c(Cl)c(Cl)c(c2Cl)Cl)cc(c(c1Br)O)Br","O=C1OC2(c3cc(Br)c(O)c(Br)c3Oc3c2cc(Br)c(O)c3Br)c2c(Cl)c(Cl)c(Cl)c(Cl)c21","NRB",0
"295","Brc1ccc2c(c1)C(=O)/C(=C/1\Sc3c(C1=O)ccc1c3c(Cl)ccc1)/N2","O=C1C(=C2Sc3c(ccc4cccc(Cl)c34)C2=O)Nc2ccc(Br)cc21","NRB",0
"296","O=C1c2ccccc2C(=O)c2c1c(ccc2N)Sc1nc2c(s1)cccc2","Nc1ccc(Sc2nc3ccccc3s2)c2c1C(=O)c1ccccc1C2=O","NRB",0
"297","N#CCCN(c1ccc(cc1)/N=N/c1c(Cl)cc(cc1Cl)[N+](=O)[O-])CCOC(=O)C","CC(=O)OCCN(CCC#N)c1ccc(N=Nc2c(Cl)cc([N+](=O)[O-])cc2Cl)cc1","NRB",0
"298","CN(c1ccc(cc1)C(c1ccc(c2c1cccc2)Nc1ccccc1)(c1ccc(cc1)N(C)C)O)C","CN(C)c1ccc(C(O)(c2ccc(N(C)C)cc2)c2ccc(Nc3ccccc3)c3ccccc23)cc1","NRB",0
"299","C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C","C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1","NRB",0
"300","C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](O[Si](O1)(C)C)(C)C","C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1","NRB",0
"301","CN(c1ccc(cc1)C(c1ccc(cc1)N(C)C)c1ccc(cc1)N(C)C)C","CN(C)c1ccc(C(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1","NRB",0
"302","N#Cc1cc(cc(c1/N=N/c1ccc(cc1NC(=O)C)N(CC)CC)Br)[N+](=O)[O-]","CCN(CC)c1ccc(N=Nc2c(Br)cc([N+](=O)[O-])cc2C#N)c(NC(C)=O)c1","NRB",0
"303","Cc1ccc(c(c1)C)/N=N/c1c(O)ccc2c1cccc2","Cc1ccc(N=Nc2c(O)ccc3ccccc23)c(C)c1","NRB",0
"304","OCCN(c1ccc(cc1)/N=N/c1c(Cl)cc(cc1Cl)[N+](=O)[O-])C","CN(CCO)c1ccc(N=Nc2c(Cl)cc([N+](=O)[O-])cc2Cl)cc1","NRB",0
"305","Oc1ccc(cc1)/N=N/c1ccc(cc1)/N=N/c1ccccc1","Oc1ccc(N=Nc2ccc(N=Nc3ccccc3)cc2)cc1","NRB",0
"306","Oc1ccc(cc1)N=Nc1ccc(c2c1cccc2)N=Nc1ccccc1","Oc1ccc(N=Nc2ccc(N=Nc3ccccc3)c3ccccc23)cc1","NRB",0
"307","Oc1c(cc(cc1C(C)(C)C)c1ccc(cc1)C(C)(C)C)C(C)(C)C","CC(C)(C)c1ccc(-c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc1","NRB",0
"308","Oc1ccc(cc1C)/N=N/c1ccc(cc1)/N=N/c1ccccc1","Cc1cc(N=Nc2ccc(N=Nc3ccccc3)cc2)ccc1O","NRB",0
"309","Brc1cc(Br)cc(c1)Br","Brc1cc(Br)cc(Br)c1","NRB",0
"310","COc1c(OC)c(Cl)c(c(c1Cl)Cl)Cl","COc1c(Cl)c(Cl)c(Cl)c(Cl)c1OC","NRB",0
"311","Clc1cc(cc(c1Cl)Cl)c1cc(Cl)c(c(c1)Cl)Cl","Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c1Cl","NRB",0
"312","COc1ccccc1/N=N/c1c(O)ccc2c1cccc2","COc1ccccc1N=Nc1c(O)ccc2ccccc12","NRB",0
"313","Oc1c(Br)cc(cc1Br)C1(OS(=O)(=O)c2c1cccc2)c1cc(Br)c(c(c1)Br)O","O=S1(=O)OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2ccccc21","NRB",0
"314","Cc1cc(cc(c1O)Br)C1(OS(=O)(=O)c2c1cccc2)c1cc(C)c(c(c1)Br)O","Cc1cc(C2(c3cc(C)c(O)c(Br)c3)OS(=O)(=O)c3ccccc32)cc(Br)c1O","NRB",0
"315","[O-][N+](=O)c1c(C)c(cc2c1C(C)(C)CC2(C)C)[N+](=O)[O-]","Cc1c([N+](=O)[O-])cc2c(c1[N+](=O)[O-])C(C)(C)CC2(C)C","NRB",0
"316","Cc1cc(O)c(cc1C1(OS(=O)(=O)c2c1cccc2)c1cc(C)c(cc1C)O)C","Cc1cc(C2(c3cc(C)c(O)cc3C)OS(=O)(=O)c3ccccc32)c(C)cc1O","NRB",0
"317","Clc1ccc(cc1)NC(=O)c1cc2c(cc1O)[nH]c1c2cccc1","O=C(Nc1ccc(Cl)cc1)c1cc2c(cc1O)[nH]c1ccccc12","NRB",0
"318","Clc1c(S)c(Cl)c(c(c1Cl)Cl)Cl","Sc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl","NRB",0
"319","Clc1ccc(c(c1)NC(=O)c1cc2ccccc2cc1O)C","Cc1ccc(Cl)cc1NC(=O)c1cc2ccccc2cc1O","NRB",0
"320","COc1c([N+](=O)[O-])c(C)c(cc1C(C)(C)C)[N+](=O)[O-]","COc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-]","NRB",0
"321","CN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F","CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1","NRB",0
"322","O=c1c2ccc3c4c2c(c2c1cccc2)[nH]c1c4c2c([nH]3)c3ccccc3c(=O)c2cc1","O=c1c2ccc3[nH]c4c5ccccc5c(=O)c5ccc6[nH]c(c7ccccc17)=c2c3c6c5=4","NRB",0
"323","C=C[C@@](CC[C@H]1[C@](C)(O)CC[C@@H]2[C@]1(C)CCCC2(C)C)(O)C","C=CC(C)(O)CCC1C(C)(O)CCC2C(C)(C)CCCC21C","NRB",0
"324","N/C(=N\CCCCCC/N=C(/N=C(Nc1ccc(cc1)Cl)N)\N)/N=C(Nc1ccc(cc1)Cl)N","NC(=NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)N=C(N)Nc1ccc(Cl)cc1","NRB",0
"325","CN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2","CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1","NRB",0
"326","Cl[C@@H]1[C@H](Cl)[C@@H](Cl)[C@@H]([C@@H]([C@H]1Cl)Cl)Cl","ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl","NRB",0
"327","C[Si]1(C)O[Si](C)(C)O[Si](O[Si](O1)(C)C)(C)C","C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1","NRB",0
"328","Brc1cc(c(c(c1O)Br)C)C1(OS(=O)(=O)c2c1cccc2)c1cc(Br)c(c(c1C)Br)O","Cc1c(C2(c3cc(Br)c(O)c(Br)c3C)OS(=O)(=O)c3ccccc32)cc(Br)c(O)c1Br","NRB",0
"329","C[C@@H]1CC[C@]2([C@@H]([C@H]1C)C1=CC[C@H]3[C@@]([C@@]1(CC2)C)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)C(=O)O","CC1CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1C","NRB",0
"330","COc1cc(NS(=O)(=O)c2ccc(cc2)C)c2c(c1N)C(=O)c1c(C2=O)cccc1","COc1cc(NS(=O)(=O)c2ccc(C)cc2)c2c(c1N)C(=O)c1ccccc1C2=O","NRB",0
"331","Oc1ccc2c(c1/N=N/c1ccc(cc1)/N=N\c1ccccc1)cccc2","Oc1ccc2ccccc2c1N=Nc1ccc(N=Nc2ccccc2)cc1","NRB",0
"332","Brc1ccc(cc1)NC(=O)c1cc(Br)cc(c1O)Br","O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O","NRB",0
"333","COc1cc(OC)c(cc1NC(=O)c1cc2ccccc2cc1O)Cl","COc1cc(OC)c(NC(=O)c2cc3ccccc3cc2O)cc1Cl","NRB",0
"334","Clc1ccc(c(c1)C)NC(=O)c1cc2ccccc2cc1O","Cc1cc(Cl)ccc1NC(=O)c1cc2ccccc2cc1O","NRB",0
"335","Cc1cc(Sc2cc(C)c(c(c2)C(C)(C)C)O)cc(c1O)C(C)(C)C","Cc1cc(Sc2cc(C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O","NRB",0
"336","ClC(C(c1ccccc1Cl)c1ccc(cc1)Cl)Cl","Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1","NRB",0
"337","CCN(c1ccc(c(c1)C)C=C(C#N)C#N)CCOC(=O)CCCCC(=O)OCCN(c1ccc(c(c1)C)C=C(C#N)C#N)CC","CCN(CCOC(=O)CCCCC(=O)OCCN(CC)c1ccc(C=C(C#N)C#N)c(C)c1)c1ccc(C=C(C#N)C#N)c(C)c1","NRB",0
